11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
1 fracturing orbs, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, Fenumus First of the Night, 21 Thirst for Knowledge, lioneye's paws, delve max number of minion mod, 50 quant feared with all release, purity of fire sublime, divination distillate, 20 maps main skill tagged bow, 10 forbidden tome, sandstorm visage, kill kitava, Full stack Doedre's Madness, hallowed ground, 17 The Summoner, 20 cold and chaos unveiled, heatshiver, 4 unique relics, Full stack The Standoff, 20 maps main skill tagged link, 10 fenumal scorpion, 90 quant feared, mageblood, 50 replica uniques
astramentis, 12 pragmatism, 20 maps bleed or poison main skill, 30 alva temples, 1 fracturing orbs, 20 maps 10k energy shield, acton's nightmare, forbidden flesh, Full stack The Sword King's Salute, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, Full stack Vinia's Token, Angler's plait, kill kitava, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 10 forbidden tome, 1 insanity essence, double reservation anointed rare amulet, agnerod staff, 5 brutal restraint, the tides of time, 40 primal incubator, 50 The Doppelganger, 5 exceptional eldritch ichor, 50 Lesser Eldritch Ember, 4 hour a10 any witch
sin trek, 20 maps 1000 strength, 4.5 hour a10 scion, piece of the arcane, 5 way 4 unrelenting 3 layers of rewards, plus 5 x gems staff t1 increased x damage or spell damage prefix suffixes 3 t1 of x damage or spell crit or global crit multi or global dot multi or x dot multi corrupted with inc area inc cast speed or power on crit chance, 5 Singular Scouting Report, dissolution of the flesh, 20 maps 50k armour, 20 Farric Ape, Mahuxotl's Machination, 100 delirium orbs, kill kitava, 13 The Gambler, 20 Saqawine Cobra, every talisman anointed, crest of desire, 1 flawless uul netol, 90 quant feared, Full stack Loyalty, 1 each rare cluster jewel size, 1 veiled orb, doppelganger guise, 100x onyx amulet, 5 heist bases jewellery
Full stack The Carrion Crow, 30 Craicic Savage Crab, dissolution of the flesh, 10k of each harvest juice, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 4 ghost 80 deli chimera, forbidden flesh, 5 black sun crest, 13 Cartographer's Delight, grand spectrum, 200 tainted whetstone, matching balance of terror, kill kitava, 10 darkness enthroned, Full stack Sambodhi's Vow, kintsugi, 16 The Battle Born, triple nonnegative leadership's price, piece of brutality, 20 maps main skill tagged movement or travel or blink, Full stack Alone in the Darkness, 20 Farric Chieftain, ghostwrithe, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 20 maps CI
grand spectrum, 12 pragmatism, 50 quant feared with all release, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, 20 maps 2h attack main skill, 5 carto scarab of risk unid t17 full map effect atlas, Full stack The Metalsmith's Gift, balance of terror, 20 Saqawine Retch, 2 curse impresence or soul ascension or eternity shroud, lioneye's paws, Full stack The Web, kill kitava, delve max number of minion mod, 66 The Flora's Gift, 40 primal incubator, hinekora's lock, 10 perception contract, 20 reflective oils, 20 maps with triggered main skill, 20 aetheric fossil, snakebite, agnerod staff, echoes of creation, 1000 transmutations
100 atlas completion, ashes of the stars, 5 transfigured gems that start with F, 20 tainted chrome, 10 fenumal scorpion, 20 maps with attack main skill, 3 the oppressor, 20 maps with phys main skill, 10 The Beast, nebuloch, Full stack The Porcupine, 300+ depth aul 2 phys as mods, kill kitava, forbidden flame, Fenumus First of the Night, uul-netol's vow, Mahuxotl's Machination, 80% deli t17 lt 50 remain and boss, upgrade a harbinger unique, 134 Mitts, the hateful accuser, 22 Gemcutter's Promise, 20 craicic squid, kill craiccean only wearing craiceann uniques, 3x watcher's eye
voll's vision, 10 simulacrum, Unrequited Love, fractured delve mod, cospri's will, 20 ancient orbs, kaom's roots, 10 Guardian's Challenge, impossible escape, 20 maps 7000 mana, 20 maps 0% crit chance on main skill, 20 tempering orbs, kill kitava, 250 quant t17 80 deli unique bosses shrined kill tul, 134 Mitts, atziri's foible, every attribute amulet anointed, massive thread of hope, 40 primal incubator, 250 quant t17 80 deli unique bosses shrined kill esh, sunblast, 11 Hope, 250 deli splinters 1 map, bones of ullr, wyrmsign
20 maps with phys main skill, the whispering ice, 4 ghost 80 deli chimera, 4 bear's girdle, 10 corrupted 6 links, 1 each relic base type, 20 essence enslaver, defiance of destiny, 5 every transfigured colour, 30 alva temples, Exalted Orb, goldrim, kill kitava, upgraded temple unique, 4.5 hour a10 like leaguestart, non catarina syndicate unique, oriath's end, piece of storms, Full stack Thunderous Skies, 20 maps with temp minions main skill, 3 large cluster jewel 3 notable, 200 tainted armourer's, Love Through Ice, incandescent heart, double corrupted shaper's touch
piece of brutality, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, 20 maps CI, 10 non bench suppress items, kaom's binding, clear hall of the grandmasters, 3x t1 ele or 3x t1 phys sword 6 link t1 attack speed t1 crit chance double damage chance implicits crits ignore ele res and corrupted with fortify or resolute technique, death rush, 1 each rare cluster jewel size, mark of the shaper and mark of the elder, 5 heist bases jewellery, 10 deft fossil, kill kitava, 20 maps 10k energy shield, heartbound loop, 10 influenced non eldritch shields, Full stack The Demoness, 20 craicic squid, Saqawal First of the Sky, 5 i86 stygian, dissolution of the flesh, full gearset influenced items, bino's kitchen knife, afk blight ravaged no towers or button pressing, every attribute amulet anointed
squire corrupted with plus any socketed gems, oro's sacrifice, 13 Society's Remorse, fractured delve mod, 5 upgraded breach unique, 1 any blueprint exclusive non replica unique, melding of the flesh, massive thread of hope, 10 deception contract, Full stack Hubris, Full stack Last Hope, 4 ghost 80 deli hydra, kill kitava, 10 gearsets of chaos recipe, 4 hour a10 any witch, iron commander, 17 Volatile Power, 20 maps CI, lab unique, ming's heart, 50 tainted mythic orb, kill kitava with scion, 200 yellow beasts, sandstorm visage, 5 way 4 unrelenting 3 layers of rewards
shavronne's wrappings, Full stack The Master Artisan, 20 small cluster jewel rare, 20 maps with 50 mana reservation efficiency, 1 any blueprint exclusive non replica unique, 13 Sambodhi's Vow, 5 Farric Taurus, 4.5 hour a10 any marauder, 250 deli splinters 1 map, ryslatha's coil, 2 obliteration, 200 tainted whetstone, kill kitava, Operative's Scouting Report, mark of the shaper and mark of the elder, afk blight ravaged no towers or button pressing, kill kitava with champion, 20 priceless contract, march of the legion, plus 2 counter thaumaturgy jobs ward, 10k of each harvest juice, 10 heist bases any, 4 orb of conflict, 20 Gemcutter's Prism, 40 gem incubator
20 maps main skill tagged nova, ancestral vision, synth explode weapon, i85 wyvernscale gauntlets boots haunted bascinet, 1 each relic base type, surgebinders, 4 hour a10 any witch, 30 alva temples, 3 gold oils, turn in cards for a t0, 5 transfigured gems that start with C, ashes of the stars, kill kitava, 1 of each colour legion jewel, 10 pristine fossil, 20 maps spellslinger main skill, 200 tainted whetstone, 13 Azure Rage, 250 deli splinters 1 map, 50 The Scarred Meadow, pilfering scarab 1000 cards one boss, 10 deception contract, ghostwrithe, Full stack Vinia's Token, Full stack The Gladiator
50 Lesser Eldritch Ichor, 100 Blacksmith's Whetstone, impossible escape, 5 transfigured gems that start with B, 10 annulments, 1 flawless uul netol, 20 Farric Ursa, 20 omen of refreshment, Saqawal First of the Sky, 600 delve, 90 quant feared, Full stack Glimmer of Hope, kill kitava, 20 maps 100 suppression, 20 life 30 rarity 5 rmr +60 total resistance ventor's, hall of the grandmasters, matching forbidden jewels, bottled faith, Black Morrigan, 1 each relic base type, tabula rasa, kaom's roots, 2 Farric Lynx Alpha, 4.5 hour a10 any marauder, kill kitava with berserker
5 militant faith, 12 large cluster 12 passive rare, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, mark of the shaper and mark of the elder, Full stack Her Mask, void valdo, lab unique, lavianga's spirit, bronn's lithe, 40 gem incubator, Full stack The Metalsmith's Gift, triple nonnegative leadership's price, kill kitava, 3x t1 ele or 3x t1 phys axe 6 link t1 attack speed t1 crit chance double damage chance corrupted with fortify and inspiration, 10 corroded fossil, 20 maps 85 max res, wyrmsign, 20 essence enslaver, every unique abyss jewel, 20 Saqawine Retch, 6 tainted fusing, forbidden flesh, 20 maps with self cast main skill, 20 ancient orbs, defiance of destiny
7 ubers, every delirium unique jewel, Craiceann First of the Deep, 20 maps cast on crit main skill, piece of storms, Exalted Orb, full gearset fractured mods, 10 darkness enthroned, shavronne's wrappings, pilfering scarab 1000 cards one boss, ailment faster delve rare, 20 Glassblower's Bauble, kill kitava, impossible escape, each circle, 10 faceted fossil, 200 yellow beasts, kill kitava with assassin, Full stack The Inventor, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, upgraded temple unique, stormshroud, Full stack Vinia's Token, Ambitious Obsession, sandstorm visage
void valdo, the hungry loop, 20 tainted chrome, carcass jack, 20 tempering orbs, 2 curse impresence or soul ascension or eternity shroud, 600 delve, plus 4 hands of the high templar, 20 maps main skill tagged critical, 66 The Catalyst, 50 Lesser Eldritch Ember, 20 maps 1000 int, kill kitava, 10 6 mod abyss jewels, 3x watcher's eye, 5 transfigured gems that start with B, 18 deafening doubt, 33 The Journalist, headhunter, immutable force, 100 total cluster jewel notables, i83 omnitect at most 2 items equipped, Fenumus First of the Night, tainted pact, krillson
20 maps 1000 dex, 11 The Rite of Elements, plus 4 hands of the high templar, Farrul First of the Plains, forbidden flesh, 9 deafening anger, vulconus, 20 Farric Chieftain, lab unique, 20 maps main skill tagged aoe, 90 quant feared, vaal caress, kill kitava, 5 militant faith, 250 quant t17 80 deli unique bosses shrined kill tul, 10 simulacrum, southbound, t16 rare monster with 8 essence 4 ghost 80 deli, 10 vorici gloves veiled, t0 valdo, Full stack The Sigil, dawnbreaker, willclash, 10 deception contract, delve max number of minion mod
20 The Web, every talisman anointed, omen of connections, 20 maps 0% crit chance on main skill, ashes of the stars, 10 janus helm veiled, Matryoshka, mark of the shaper and mark of the elder, Full stack The Catalyst, matching damage and multi cane of kulemak, Full stack The Dragon, 90 quant feared, kill kitava, 44 Rats, 10 gearsets of chaos recipe, 250 quant t17 80 deli unique bosses shrined kill tul, 250 quant t17 80 deli unique bosses shrined kill ghorr, Exalted Orb, the hungry loop, 5 brutal restraint, Full stack Lantador's Lost Love, Fenumus First of the Night, 5 transfigured gems that start with C, 20 maps 10k energy shield, Saqawal First of the Sky
bronn's lithe, 20 maps with phys main skill, 64 large cluster 8 passive rare, 250 quant t17 100 deli possessed kosis, 4 ghost 80 deli phoenix, 50k rogue markers, kill kitava with scion, 50 quant feared with all release, the light of meaning, 9 deafening wrath, lightning coil, 10 gearsets of chaos recipe, kill kitava, ghostwrithe, 9 deafening sorrow, 4 unique relics, Full stack The Standoff, 10 split personality, every attribute amulet anointed, 1 each relic base type, atziri's foible, 200 tainted armourer's, might of the meek, snakebite, purity of fire sublime
non catarina syndicate unique, 10k of each harvest juice, kill fenumus only wearing fenumus uniques, shavronne's revelation, 20 maps cast on crit main skill, 8 mod t17, 20 craicic squid, plus charge ring, 5 brutal restraint, Full stack The Opulent, oriath's end, ceinture of benevolence, kill kitava, 5 temple mod rare belt, 100 total cluster jewel notables, 44 Rats, mark of the shaper and mark of the elder, 20 maps with lightning main skill, 4 ghost 80 deli phoenix, 7 hour act 10 new char, 20 metallic fossil, 200 tainted armourer's, piece of storms, alpha's howl, Full stack Dark Temptation
20 maps with perma minions main skill, torchoak step, Full stack The Wretched, echoes of creation, 44 The Witch, Delirious Scouting Report, oriath's end, 5 militant faith, immutable force, ming's heart, 26 The Tireless Extractor, ralakesh , kill kitava, kill saqawal only wearing saqawal uniques, 10 6 mod abyss jewels, 20 essence eradicator, 100 wings, plus 2 frenzy rare gloves, 10 counter thaumatergy contract, kill kitava with champion, Fenumus First of the Night, 20 Farric Chieftain, 33 Imperial Legacy, Full stack Imperial Legacy, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle
2 fractured fossil, 250 deli splinters 1 map, 1000 Portal Scroll, 4 ghost 80 deli minotaur, every delirium unique jewel, 13 The Valkyrie, Black Morrigan, ulaman's gaze, grand spectrum, 100 wings, iron commander, Full stack The Gambler, kill kitava, 20 priceless contract, 20 Blessed Orb, 20 maps 50k armour, echoes of creation, lochtonial caress, 10 corrupted 6 links, 250 quant t17 100 deli possessed omniphobia, 20 maps with totem main skill, piece of focus, 2 Farric Frost Hellion Alpha, conquest lamellar 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 pdr t1 chaos 90% divine suffixes perfect divine implicits 28% grace effect 19% aura effect, doppelganger guise
10k of each harvest juice, 20 maps main skill tagged strike, dissolution of the flesh, 3 gold oils, 20 intrinsic catalyst, piece of brutality, Full stack The Penitent, Full stack The Risk, 333 quant t17, poorjoy's asylum, hateforge, marohi erqi, kill kitava, 20 maps cast while channeling main skill, 300 quant t17 full spec ultimatum completed, Full stack The Adventuring Spirit, 20 diviner's incubator, 20 Saqawine Blood Viper, 20 Farric Chieftain, eyes of the greatwolf, 200 yellow beasts, delve max number of minion mod, ashes of the stars, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, bronn's lithe
